module	class	vm	rc	state	wall_s	tests	fail	note
core	org.keycloak.AtHashTest	cratonvm	0	PASS	4.5	2	0	
core	org.keycloak.AtHashTest	hotspot	0	PASS	1.5	2	0	-
core	org.keycloak.HashTest	cratonvm	0	PASS	4.9	1	0	
core	org.keycloak.HashTest	hotspot	0	PASS	1.1	1	0	-
core	org.keycloak.JsonParserTest	cratonvm	0	PASS	12.5	10	0	
core	org.keycloak.JsonParserTest	hotspot	0	PASS	1.1	10	0	-
core	org.keycloak.KeyPairVerifierTest	-	-	ABSTRACT	-	-	-	-
core	org.keycloak.RSAVerifierTest	-	-	ABSTRACT	-	-	-	-
core	org.keycloak.SkeletonKeyTokenTest	cratonvm	1	FAIL	10.0	0	0	
core	org.keycloak.SkeletonKeyTokenTest	hotspot	0	PASS	2.1	5	0	-
core	org.keycloak.authentication.x509.CertificateIdentityExtractorTest	-	-	ABSTRACT	-	-	-	-
core	org.keycloak.jose.HmacTest	-	-	ABSTRACT	-	-	-	-
core	org.keycloak.jose.JWETest	-	-	ABSTRACT	-	-	-	-
core	org.keycloak.jose.JsonWebTokenTest	cratonvm	0	PASS	3.6	9	0	
core	org.keycloak.jose.JsonWebTokenTest	hotspot	0	PASS	1.2	9	0	-
core	org.keycloak.jose.jwk.AKPJWKTest	-	-	ABSTRACT	-	-	-	-
core	org.keycloak.jose.jwk.JWKTest	-	-	ABSTRACT	-	-	-	-
core	org.keycloak.jose.jwk.JWKUtilTest	cratonvm	1	FAIL	2.4	6	1	1) testBigInteger380bit48bytesErrorFor256(org.keycloak.jose.jwk.JWKUtilTest)
core	org.keycloak.jose.jwk.JWKUtilTest	hotspot	1	FAIL	0.5	6	1	-
core	org.keycloak.json.StringListMapDeserializerTest	cratonvm	0	PASS	3.0	4	0	
core	org.keycloak.json.StringListMapDeserializerTest	hotspot	0	PASS	0.8	4	0	-
core	org.keycloak.representations.IDTokenTest	cratonvm	1	FAIL	1.8	0	0	
core	org.keycloak.representations.IDTokenTest	hotspot	0	PASS	1.0	1	0	-
core	org.keycloak.representations.UserInfoTest	cratonvm	0	PASS	3.3	1	0	
core	org.keycloak.representations.UserInfoTest	hotspot	0	PASS	1.0	1	0	-
core	org.keycloak.representations.workflows.WorkflowDefinitionTest	cratonvm	0	PASS	4.4	2	0	
core	org.keycloak.representations.workflows.WorkflowDefinitionTest	hotspot	0	PASS	1.1	2	0	-
core	org.keycloak.sdjwt.ArrayElementDisclosureTest	cratonvm	0	PASS	3.6	2	0	
core	org.keycloak.sdjwt.ArrayElementDisclosureTest	hotspot	0	PASS	0.9	2	0	-
core	org.keycloak.sdjwt.ArrayElementSerializationTest	cratonvm	0	PASS	2.8	1	0	
core	org.keycloak.sdjwt.ArrayElementSerializationTest	hotspot	0	PASS	0.8	1	0	-
core	org.keycloak.sdjwt.ClaimVerifierTest	cratonvm	0	PASS	2.5	4	0	
core	org.keycloak.sdjwt.ClaimVerifierTest	hotspot	0	PASS	0.5	4	0	-
core	org.keycloak.sdjwt.DisclosureRedListTest	cratonvm	0	PASS	2.8	7	0	
core	org.keycloak.sdjwt.DisclosureRedListTest	hotspot	0	PASS	0.7	7	0	-
core	org.keycloak.sdjwt.IssuerSignedJWTTest	cratonvm	0	PASS	3.3	4	0	
core	org.keycloak.sdjwt.IssuerSignedJWTTest	hotspot	0	PASS	0.9	4	0	-
core	org.keycloak.sdjwt.JsonClaimsetTest	cratonvm	0	PASS	2.7	1	0	
core	org.keycloak.sdjwt.JsonClaimsetTest	hotspot	0	PASS	0.8	1	0	-
core	org.keycloak.sdjwt.JsonNodeComparisonTest	cratonvm	0	PASS	2.7	1	0	
core	org.keycloak.sdjwt.JsonNodeComparisonTest	hotspot	0	PASS	0.8	1	0	-
core	org.keycloak.sdjwt.SdJWTSamplesTest	cratonvm	0	PASS	3.5	4	0	
core	org.keycloak.sdjwt.SdJWTSamplesTest	hotspot	0	PASS	1.0	4	0	-
core	org.keycloak.sdjwt.SdJwsTest	-	-	ABSTRACT	-	-	-	-
